scenario_id,fill_assumption,min_fill_quality_score,summary_level,market,year,turnover_bucket,day0_volume_shock_bucket,range_pct_bucket,fill_quality_score_bucket,candidate_trades,fillable_trades,skipped_trades,fillable_ratio,raw_win_rate,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,profit_factor,total_net_pnl,max_drawdown,average_turnover_twd,average_volume_ratio_20d,average_range_pct,average_fill_quality_score
optimistic_score_ge_40,optimistic,40.0,by_fill_quality_score_bucket,,,,,,60_70,210,210,0,1.0,0.6142857142857143,0.5523809523809524,0.006828959930337181,0.008905390139328395,0.0020042631537410473,0.004072668023175154,1.152107026802852,46944.56325999998,-92886.50895000002,273093589.11904764,14.42058665347124,0.0729206707195701,66.0
optimistic_score_ge_40,optimistic,40.0,by_fill_quality_score_bucket,,,,,,70_80,902,902,0,1.0,0.738359201773836,0.6840354767184036,0.01773283478467184,0.018596519230541862,0.012865105575524716,0.013726011402061977,2.0733082125723183,927709.50505,-284436.60137,167232950.29600886,4.837151564507139,0.08499347045325786,79.95565410199556
optimistic_score_ge_40,optimistic,40.0,by_fill_quality_score_bucket,,,,,,<40,41,1,40,0.024390243902439025,0.0,0.0,-0.00705052878965938,-0.00705052878965938,-0.011821038777908497,-0.011821038777908497,0.0,-1106.5674400000144,-1106.5674400000144,132594911.0,6.372661167241155,0.003537735849056478,40.0
optimistic_score_ge_40,optimistic,40.0,by_fill_quality_score_bucket,,,,,,>=80,2960,2960,0,1.0,0.7422297297297298,0.6949324324324324,0.01634532626830848,0.0175182855096926,0.011483156586206739,0.012651981714490307,2.126091196041437,2705719.08635,-540020.5299,1361521604.962838,5.102145394827544,0.08951839875979259,95.38344594594595
optimistic_score_ge_50,optimistic,50.0,overall,,,,,,,4354,4298,56,0.9871382636655949,0.7340623545835272,0.6849697533736622,0.016227059488936626,0.017373682154098465,0.01136531425563568,0.012507942167379636,2.039674951380922,3925192.92708,-831145.5410500001,994908993.6563518,6.168397291559658,0.08714395962071222,88.57840856212192
optimistic_score_ge_50,optimistic,50.0,by_market,TPEX,,,,,,1670,1651,19,0.988622754491018,0.7607510599636584,0.7165354330708661,0.02379239119771695,0.019746121297602257,0.018901617019865955,0.014871131170662905,5.581689945978613,2476876.0595000004,-35776.1086500003,595804629.2761962,5.9420830627678916,0.0908594525065794,87.30466384009691
optimistic_score_ge_50,optimistic,50.0,by_market,TWSE,,,,,,2684,2647,37,0.986214605067064,0.7174159425765017,0.6652814506989044,0.011508373183233453,0.016233766233766232,0.006664734027549475,0.01137247077922078,1.4477298471918207,1448316.8675799998,-924118.15706,1243840352.021156,6.309555127500423,0.08482651392574936,89.37287495277673
optimistic_score_ge_50,optimistic,50.0,by_year,,2023,,,,,1153,1136,17,0.9852558542931483,0.6725352112676056,0.6241197183098591,0.004286862981724896,0.01344688750663002,-0.0005291980084593802,0.00859645809224167,1.0037955367269793,6766.744830000069,-831145.5410500001,787054832.7244718,7.150897171085169,0.08304699340618336,87.12588028169014
optimistic_score_ge_50,optimistic,50.0,by_year,,2024,,,,,1290,1278,12,0.9906976744186047,0.7629107981220657,0.715962441314554,0.018486508214103376,0.020204507629784006,0.01361608966457971,0.015327730254535477,2.308373157957516,1398980.22253,-678499.0936200002,950185664.6267606,6.7804104863776855,0.08906027206625913,88.18075117370893
optimistic_score_ge_50,optimistic,50.0,by_year,,2025,,,,,1056,1041,15,0.9857954545454546,0.7569644572526417,0.7012487992315082,0.01751542226510824,0.016822429906542057,0.012649124674534743,0.01195883925233645,2.9506538864491865,1005513.9970700002,-212351.77876999998,1028797820.0653218,5.666859938141362,0.08634446863389973,89.13064361191162
optimistic_score_ge_50,optimistic,50.0,by_year,,2026,,,,,855,843,12,0.9859649122807017,0.7449584816132859,0.6998813760379596,0.02730096472195535,0.022727272727272728,0.022396427320057498,0.01784065909090909,4.711885915483922,1513931.96265,-65340.476349999895,1300959376.8434165,4.535927135913187,0.090747015885917,90.45670225385528
optimistic_score_ge_50,optimistic,50.0,by_turnover_bucket,,,100m_200m,,,,1179,1135,44,0.9626802374893978,0.7224669603524229,0.6696035242290749,0.018694554878565105,0.01772525849335303,0.013823346489620705,0.012858147710487444,2.3519625457378304,1266331.01968,-217939.5675800001,143550420.52422908,7.378118643159137,0.0851055624829354,75.09691629955947
optimistic_score_ge_50,optimistic,50.0,by_turnover_bucket,,,200m_500m,,,,1362,1350,12,0.9911894273127754,0.7251851851851852,0.6792592592592592,0.017106722533332844,0.018871844336035316,0.012241342824746305,0.014000263014969117,2.0408201900481098,1358806.4680499998,-322893.87182,319846331.68814814,6.174832477689051,0.08708620943809738,86.62592592592593
optimistic_score_ge_50,optimistic,50.0,by_turnover_bucket,,,500m_1b,,,,826,826,0,1.0,0.725181598062954,0.6767554479418886,0.013509234179151036,0.01714361042317683,0.008658185080993775,0.012278767486136863,1.780574461519112,577804.74087,-150453.04258,708126757.087167,6.02613115862945,0.08746612213387471,98.00847457627118
optimistic_score_ge_50,optimistic,50.0,by_turnover_bucket,,,>=1b,,,,987,987,0,1.0,0.7669706180344478,0.7173252279635258,0.014460870358966704,0.01592356687898089,0.009606027066559556,0.011063480891719745,1.9107856970390236,722250.6984799999,-265998.69361,3137268367.079027,4.887536694254955,0.08929739149714033,98.86018237082067
optimistic_score_ge_50,optimistic,50.0,by_volume_shock_bucket,,,,2_5x,,,2465,2444,21,0.9914807302231238,0.7540916530278232,0.7107201309328969,0.018101232452132306,0.019457760554989503,0.013232161579651649,0.0145838947465856,2.2031988847612927,2544981.07687,-605156.8130699999,1194224552.6247954,3.2544262089101865,0.08831374666495338,92.06219312602292
optimistic_score_ge_50,optimistic,50.0,by_volume_shock_bucket,,,,5_10x,,,1305,1296,9,0.993103448275862,0.7222222222222222,0.6689814814814815,0.015609443900017854,0.016426181345226536,0.0107502704901001,0.0115641356641615,2.0526643070196364,1120587.43505,-191074.62953000003,768080942.8356482,6.907445967806047,0.0870537997263118,91.0570987654321
optimistic_score_ge_50,optimistic,50.0,by_volume_shock_bucket,,,,>=10x,,,584,558,26,0.9554794520547946,0.6738351254480287,0.6093189964157706,0.009452778272428556,0.012751132272674486,0.004617145546386728,0.007903415607943328,1.4358308560851152,259624.41515999995,-135018.1902,648747573.844086,17.21488159546644,0.08222977984834223,67.56272401433692
optimistic_score_ge_50,optimistic,50.0,by_range_pct_bucket,,,,,0,,40,3,37,0.075,1.0,1.0,0.06848622077071469,0.09707241910631725,0.06342119299592965,0.09189593374422171,inf,17706.704649999985,0.0,1260018586.6666667,4.450778811213671,0.0,50.0
optimistic_score_ge_50,optimistic,50.0,by_range_pct_bucket,,,,,0_1pct,,19,15,4,0.7894736842105263,0.7333333333333333,0.7333333333333333,0.0300826613632889,0.0115990057995029,0.025167369066633437,0.006755781275890637,2.6988874928525406,28546.462129999996,-10468.364299999985,980273077.0666667,4.086261044630485,0.00600811545466516,62.666666666666664
