strategy_name,family,config_hash,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_final_equity,combined_total_return,combined_cagr_like,combined_max_drawdown_twd,combined_max_drawdown_pct,combined_daily_sharpe_like,combined_improves_cagr,combined_improves_drawdown,diversification_score
multi_day_limit_up_continuation_44408d8b,multi_day_limit_up_continuation,9635d83b1819,0.46752983237943824,4646145.647452361,6646145.647452361,2.3230728237261804,0.6324530803688393,-103918.18069137167,-0.021789260716250845,8.938457839187317,False,True,0.5338154909789299
multi_day_limit_up_continuation_dcbfe8d3,multi_day_limit_up_continuation,339375357b8d,0.4658054744688034,4640990.512676624,6640990.512676624,2.3204952563383117,0.6319362145757135,-103878.38213749602,-0.021826748237814594,8.951550895757213,False,True,0.535502361368001
multi_day_limit_up_continuation_2671e68c,multi_day_limit_up_continuation,496e7102ff28,0.5385708582622278,3818574.8183197984,5818574.818319798,1.9092874091598993,0.5462210512766716,-94690.4104032293,-0.01613833923200122,8.670025818887037,False,True,0.4684253865803899
multi_day_limit_up_continuation_5fa1e06a,multi_day_limit_up_continuation,a8f158eab8f5,0.5380079098274629,3808588.7364690322,5808588.736469032,1.904294368234516,0.5451375286078384,-94619.50664941594,-0.016153860050796692,8.680898840211636,False,True,0.46897281419635933
multi_day_limit_up_continuation_d25851df,multi_day_limit_up_continuation,ab19636f799b,0.41374502758420584,7286547.876934808,9286547.876934808,3.643273938467404,0.8712480982527588,-133535.14110376593,-0.015878001314241774,9.638073096143918,True,True,0.8292405146274435
multi_day_limit_up_continuation_533f5971,multi_day_limit_up_continuation,54636754870c,0.4164501122675558,7281863.086368499,9281863.0863685,3.6409315431842497,0.8708627980021535,-133786.79276131373,-0.01594648284773622,9.615245006913172,True,True,0.8256963479093884
multi_day_limit_up_continuation_33da7af2,multi_day_limit_up_continuation,7853378a6199,0.4090689480609542,5971117.816152168,7971117.816152168,2.9855589080760843,0.7581664615283721,-120894.56381287053,-0.015095867931278147,9.359189867953976,True,True,0.6085354540848853
multi_day_limit_up_continuation_9ea86f08,multi_day_limit_up_continuation,8984ef31f1eb,0.41232610421217814,5972294.120031309,7972294.120031309,2.9861470600156546,0.7582723402076867,-120900.74222481064,-0.015094410642315165,9.335811903457389,True,True,0.6054915125812536
first_limit_up_only_aa41af59,first_limit_up_only,655bf3d2ad83,0.7177262516025796,6843862.745908242,8843862.745908242,3.4219313729541208,0.8343179550475122,-177284.76824078336,-0.019869848946145876,8.020391938631562,True,True,0.44740715656667224
first_limit_up_only_58602e8d,first_limit_up_only,09ace05a59a4,0.70718422496174,6801627.69931576,8801627.69931576,3.4008138496578804,0.8307379163266115,-177252.47998190485,-0.01996082153762454,8.115455479515047,True,True,0.4506981331742319
first_limit_up_only_2489542f,first_limit_up_only,15a823526bd9,0.8415213377218373,4612516.517852987,6612516.517852987,2.3062582589264937,0.6290770582477716,-165147.6863926174,-0.02463983836406476,7.779134162360809,False,False,0.15847866227816265
first_limit_up_only_3d9c06ab,first_limit_up_only,09965258a061,0.8406564322250811,4572756.861019578,6572756.861019578,2.2863784305097887,0.6250724570015547,-165210.8317141421,-0.024796199288422242,7.775852719031899,False,False,0.15934356777491887
first_limit_up_only_a8c1e849,first_limit_up_only,aafa508f9ef7,0.37045633928817345,10033728.441677013,12033728.441677013,5.016864220838507,1.0782913942744408,-249485.15788953938,-0.05538276436425293,8.623443430462377,True,False,1.2793592122064625
first_limit_up_only_455cdbc1,first_limit_up_only,be8faee88861,0.3762439419422875,9915248.962719858,11915248.962719858,4.957624481359929,1.0699256842697298,-234711.5902491156,-0.05252019227988842,8.573932816172352,True,False,1.2568401895429266
first_limit_up_only_90ebc664,first_limit_up_only,49c4a9bd8b6c,0.4407423766793618,7602946.606670445,9602946.606670445,3.8014733033352224,0.8956535845376834,-237897.16476303432,-0.061161531902242355,7.530839786083452,True,False,0.8437975553417595
first_limit_up_only_12b006e7,first_limit_up_only,b68ec1465b2c,0.46957706670448507,7576390.000685558,9576390.000685558,3.788195000342779,0.8935148083452544,-201696.75918098725,-0.051452666906027754,7.749214116537121,True,False,0.8106853129317783
repeat_limit_up_only_b6b59e2e,repeat_limit_up_only,3f210de9254e,0.46752983237943824,4646145.647452361,6646145.647452361,2.3230728237261804,0.6324530803688393,-103918.18069137167,-0.021789260716250845,8.938457839187317,False,True,0.5338154909789299
repeat_limit_up_only_433fcac8,repeat_limit_up_only,e262a7061cdb,0.4658054744688034,4640990.512676624,6640990.512676624,2.3204952563383117,0.6319362145757135,-103878.38213749602,-0.021826748237814594,8.951550895757213,False,True,0.535502361368001
repeat_limit_up_only_112849e3,repeat_limit_up_only,9d1c787dc39a,0.5385708582622278,3818574.8183197984,5818574.818319798,1.9092874091598993,0.5462210512766716,-94690.4104032293,-0.01613833923200122,8.670025818887037,False,True,0.4684253865803899
repeat_limit_up_only_570f31a3,repeat_limit_up_only,a9a598e67ed2,0.5380079098274629,3808588.7364690322,5808588.736469032,1.904294368234516,0.5451375286078384,-94619.50664941594,-0.016153860050796692,8.680898840211636,False,True,0.46897281419635933
repeat_limit_up_only_3da936e8,repeat_limit_up_only,8714f759bc86,0.41374502758420584,7286547.876934808,9286547.876934808,3.643273938467404,0.8712480982527588,-133535.14110376593,-0.015878001314241774,9.638073096143918,True,True,0.8292405146274435
repeat_limit_up_only_a94280f3,repeat_limit_up_only,e514d577d83b,0.4164501122675558,7281863.086368499,9281863.0863685,3.6409315431842497,0.8708627980021535,-133786.79276131373,-0.01594648284773622,9.615245006913172,True,True,0.8256963479093884
repeat_limit_up_only_a4137519,repeat_limit_up_only,c82e2c11b8a8,0.4090689480609542,5971117.816152168,7971117.816152168,2.9855589080760843,0.7581664615283721,-120894.56381287053,-0.015095867931278147,9.359189867953976,True,True,0.6085354540848853
repeat_limit_up_only_537e70b1,repeat_limit_up_only,aae6e568c3b6,0.41232610421217814,5972294.120031309,7972294.120031309,2.9861470600156546,0.7582723402076867,-120900.74222481064,-0.015094410642315165,9.335811903457389,True,True,0.6054915125812536
closed_limit_up_with_market_regime_filter_dec604be,closed_limit_up_with_market_regime_filter,843653d2c050,0.7608338033485761,7730629.433663255,9730629.433663255,3.8653147168316275,0.9072620074535158,-191779.8077735342,-0.019584427902153163,8.374834588851733,True,True,0.5504731306766758
closed_limit_up_with_market_regime_filter_a2875d8f,closed_limit_up_with_market_regime_filter,37c970d21858,0.7505440969576102,7695934.447753627,9695934.447753627,3.8479672238768137,0.9044838156089108,-172401.6930821631,-0.01770346890530869,8.444418600993512,True,True,0.5570874123752761
