summary_level,year,market,turnover_bucket,consecutive_limit_up_count,symbol,trades,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,total_net_pnl,profit_factor,max_drawdown,worst_trade,best_trade,average_turnover_twd,average_volume_ratio_20d,average_entry_price,average_shares,total_buy_notional,trade_share,abs_net_pnl_share
by_turnover_bucket,,,>=1b,,,987,0.7173252279635258,0.014460870358966706,0.01592356687898089,0.009606027066559556,0.011063480891719745,722250.69848,1.9107856970390238,-97495.90751999998,-71784.971,18365.2211,3137268367.079027,4.887536694254955,56.94078014184397,1831.8135764944275,77082650.0,,
by_consecutive_limit_up_count,,,,1,,4354,0.6858061552595315,0.016404408693384515,0.017426044487182733,0.011541978096800423,0.012560100339727206,4046452.68439,2.0555425500148425,-442198.8233199995,-71784.971,33628.117,984404412.8417547,6.258321420521935,48.17379191548002,2366.5594855305467,346852710.0,,
by_symbol,,TPEX,,,1336,1,0.0,-0.00528169014084507,-0.00528169014084507,-0.010059096830985916,-0.010059096830985916,-857.0350500000001,0.0,-857.0350500000001,-857.0350500000001,-857.0350500000001,177326897.0,8.56547742157413,28.4,3000.0,85200.0,0.00022967386311437759,7.316637287903286e-05
by_symbol,,TPEX,,,1569,4,0.5,0.011544839438533813,0.0055490095370454295,0.00670182610956297,0.0007293739488604892,1333.9345,2.611502610303347,-757.8106,-757.8106,2018.0261,717254660.5,4.243478141913855,60.25,1000.0,241000.0,0.0009186954524575103,0.0002552139253265784
by_symbol,,TPEX,,,1570,2,1.0,0.00970416431128698,0.00970416431128698,0.004868327774637271,0.004868327774637271,709.3870000000001,inf,0.0,64.49959999999999,644.8874000000001,169274877.5,8.04196466910672,35.7,2000.0,142800.0,0.00045934772622875517,6.05614364984705e-05
by_symbol,,TPEX,,,1584,6,0.6666666666666666,0.006985547614695053,0.007904797362948702,0.002160310964545356,0.003075976558030566,1039.03945,2.20913893956839,-479.32019999999994,-479.32019999999994,746.9481000000001,782091195.6666666,6.6762596393109135,31.00833333333333,2833.3333333333335,520450.0,0.0013780431786862655,0.00023542755493895917
by_symbol,,TPEX,,,1586,1,1.0,0.032590051457975985,0.032590051457975985,0.027664982847341337,0.027664982847341337,2419.30275,inf,0.0,2419.30275,2419.30275,109467238.0,8.089882706011904,29.15,3000.0,87450.0,0.00022967386311437759,0.00020653951914075113
by_symbol,,TPEX,,,1591,5,0.6,0.02842027351666293,0.04094292803970223,0.02351146287022146,0.035985291563275436,7686.2600999999995,7.422194892564309,-1040.3276999999998,-1040.3277,3697.0038,315290786.8,4.755220596890114,64.57,1200.0,370300.0,0.0011483693155718878,0.0008605375491105859
by_symbol,,TPEX,,,1595,4,1.0,0.08229394738827653,0.05714804063860668,0.07717508328740963,0.05212722042815675,26874.149899999997,inf,0.0,363.1416,19942.6695,258407865.25,17.50238925142448,55.1875,1500.0,315700.0,0.0009186954524575103,0.0022942866483586914
by_symbol,,TPEX,,,1785,5,0.8,0.015668097887472473,0.012084592145015106,0.01080900797380922,0.007239474320241692,3623.254,7.814193743492834,-531.7215999999999,-531.7216000000001,2128.9631,3675448810.0,3.9803995890564727,64.88,1000.0,324400.0,0.0011483693155718878,0.0004001103979426737
by_symbol,,TPEX,,,1799,1,0.0,0.0026041666666666665,0.0026041666666666665,-0.002203986979166667,-0.002203986979166667,-169.26620000000003,0.0,-169.26620000000003,-169.26620000000003,-169.26620000000003,122316890.0,3.6168431030183195,76.8,1000.0,76800.0,0.00022967386311437759,1.4450510402132274e-05
