strategy_name,family,event_type,market,entry_exit_rule,min_turnover_twd,min_volume_ratio_20d,min_close_location,min_price,max_price,max_consecutive_limit_ups,min_consecutive_limit_ups,only_first_limit_up,fill_assumption,min_fill_quality_score,sector_filter,market_regime_filter,prior_5d_return_min,prior_5d_return_max,prior_20d_return_min,prior_20d_return_max,ranking_method,initial_capital_twd,max_positions_per_day,fixed_notional_twd,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score,active_days,average_daily_exposure,average_daily_entry_notional,symbol_concentration,sector_concentration,oos_quarterly_consistency,positive_quarters,total_quarters,candidate_signals_after_strategy_filter,config_hash,pnl_vs_champion,cagr_vs_champion,maxdd_vs_champion,pf_vs_champion,median_return_vs_champion,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_cagr_like,combined_max_drawdown_pct,combined_improves_cagr,combined_improves_drawdown,diversification_score,challenger_score
closed_limit_up_with_market_regime_filter_dec604be,closed_limit_up_with_market_regime_filter,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,943,904,0.95864262990456,4963755.931549997,5963755.931549997,4.963755931549997,1.0724787619099603,-122629.99824999925,-0.02051874929271422,0.003814457264241152,0.001875238736621876,8.643131324527456,0.7323008849557522,0.7953367875647669,0.020698442860753313,0.016985180270995888,6.523653557546787,2.3419689119170983,0.2176547905159803,0,0,3,36,0,1.5902402164804321,386,511958.4745762712,511958.4745762712,0.017699115044247787,0.8517699115044248,1.0,10,10,943,843653d2c050,2004711.9799000006,0.3190951433828375,0.002615834781904764,-0.33436123878394763,-0.0013187528804365807,0.7608338033485761,7730629.433663255,0.9072620074535158,-0.019584427902153163,True,True,0.5504731306766758,4.53813736041737
closed_limit_up_with_market_regime_filter_a2875d8f,closed_limit_up_with_market_regime_filter,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,943,901,0.9554612937433722,4921100.94225,5921100.94225,4.921100942250001,1.0664165785320199,-99244.94664999843,-0.016791450832195683,0.0037985447364261233,0.0019132143289050108,8.729944014664673,0.7314095449500555,0.7927461139896373,0.020515052706974877,0.0168900466562986,6.606004192185559,2.3341968911917097,0.219761296841244,0,0,9,33,0,1.590064183223493,386,512195.33898305084,512195.33898305084,0.017758046614872364,0.853496115427303,1.0,10,10,943,37c970d21858,1962056.9906000039,0.3130329600048971,0.006343133242423301,-0.25201060414517595,-0.0014138864951338675,0.7505440969576102,7695934.447753627,0.9044838156089108,-0.01770346890530869,True,True,0.5570874123752761,4.506190401144238
closed_limit_up_with_sector_filter_0f7b503e,closed_limit_up_with_sector_filter,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,technology_only,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,876,846,0.9657534246575342,4847581.2536,5847581.2536,4.8475812536000005,1.055906891365849,-115361.29284999799,-0.02746942429489339,0.0034524450669751404,0.0015859735028647126,7.791744366216164,0.7434988179669031,0.794044665012407,0.0217055396041522,0.018973720211885186,6.489928379059188,2.099255583126551,0.19802172064028578,0,0,7,23,0,1.5283347399949638,403,436939.92248062015,436939.92248062015,0.02364066193853428,1.0,1.0,10,10,876,ae349b02b3fc,1888537.301950004,0.30252327283872615,-0.004334840220274406,-0.3680864172715461,0.0006697870604527173,0.7971370787342459,7634330.202377588,0.8995363353996066,-0.019661621078768426,True,True,0.4986413180065724,4.368941745858113
closed_limit_up_with_sector_filter_3f2ae7c3,closed_limit_up_with_sector_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,technology_only,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,876,846,0.9657534246575342,4847581.2536,5847581.2536,4.8475812536000005,1.055906891365849,-115361.29284999799,-0.02746942429489339,0.0034524450669751404,0.0015859735028647126,7.791744366216164,0.7434988179669031,0.794044665012407,0.0217055396041522,0.018973720211885186,6.489928379059188,2.099255583126551,0.19802172064028578,0,0,7,23,0,1.5283347399949638,403,436939.92248062015,436939.92248062015,0.02364066193853428,1.0,1.0,10,10,876,b6529f232793,1888537.301950004,0.30252327283872615,-0.004334840220274406,-0.3680864172715461,0.0006697870604527173,0.7971370787342459,7634330.202377588,0.8995363353996066,-0.019661621078768426,True,True,0.4986413180065724,4.368941745858113
closed_limit_up_with_sector_filter_217a8ca9,closed_limit_up_with_sector_filter,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,technology_only,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,876,845,0.9646118721461188,4788756.898799999,5788756.898799999,4.788756898799999,1.047441452093191,-91976.2412499981,-0.027757163544285438,0.0034326051192523433,0.0016146410009315604,7.772459178828454,0.7408284023668639,0.794044665012407,0.021470985233697677,0.0185560499490316,6.567657728856805,2.096774193548387,0.19976050491846992,0,0,8,23,0,1.518647016477083,403,436708.72093023255,436708.72093023255,0.023668639053254437,1.0,1.0,10,10,876,71f9a3aa91ab,1829712.9471500022,0.2940578335660682,-0.004622579469666453,-0.29035706747392975,0.0002521167975991327,0.7953897498625603,7585726.233708229,0.8956196862519061,-0.019643976225418806,True,True,0.49257299343620664,4.307831116411912
closed_limit_up_with_sector_filter_0956432e,closed_limit_up_with_sector_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,technology_only,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,876,845,0.9646118721461188,4788756.898799999,5788756.898799999,4.788756898799999,1.047441452093191,-91976.2412499981,-0.027757163544285438,0.0034326051192523433,0.0016146410009315604,7.772459178828454,0.7408284023668639,0.794044665012407,0.021470985233697677,0.0185560499490316,6.567657728856805,2.096774193548387,0.19976050491846992,0,0,8,23,0,1.518647016477083,403,436708.72093023255,436708.72093023255,0.023668639053254437,1.0,1.0,10,10,876,444e248a5673,1829712.9471500022,0.2940578335660682,-0.004622579469666453,-0.29035706747392975,0.0002521167975991327,0.7953897498625603,7585726.233708229,0.8956196862519061,-0.019643976225418806,True,True,0.49257299343620664,4.307831116411912
multi_day_limit_up_continuation_d25851df,multi_day_limit_up_continuation,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,748,742,0.9919786096256684,4419166.895070013,5419166.895070013,4.4191668950700125,0.9930503667968451,-138336.63699999917,-0.028143054313589752,0.0034306207217970315,0.0017203223292097114,9.111591244643403,0.7560646900269542,0.830238726790451,0.022476638589984402,0.02269576907943434,5.10603824581605,1.962962962962963,0.18133008646522228,0,0,4,2,0,1.5337562628347872,378,403283.5080645161,399773.62903225806,0.01078167115902965,0.6091644204851752,1.0,10,10,748,ab19636f799b,1460122.9434200162,0.23966674826972234,-0.005008470238970768,-1.7519765505146845,0.00439183592800187,0.41374502758420584,7286547.876934808,0.8712480982527588,-0.015878001314241774,True,True,0.8292405146274435,4.2028625895037255
repeat_limit_up_only_3da936e8,repeat_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,748,742,0.9919786096256684,4419166.895070013,5419166.895070013,4.4191668950700125,0.9930503667968451,-138336.63699999917,-0.028143054313589752,0.0034306207217970315,0.0017203223292097114,9.111591244643403,0.7560646900269542,0.830238726790451,0.022476638589984402,0.02269576907943434,5.10603824581605,1.962962962962963,0.18133008646522228,0,0,4,2,0,1.5337562628347872,378,403283.5080645161,399773.62903225806,0.01078167115902965,0.6091644204851752,1.0,10,10,748,8714f759bc86,1460122.9434200162,0.23966674826972234,-0.005008470238970768,-1.7519765505146845,0.00439183592800187,0.41374502758420584,7286547.876934808,0.8712480982527588,-0.015878001314241774,True,True,0.8292405146274435,4.2028625895037255
multi_day_limit_up_continuation_533f5971,multi_day_limit_up_continuation,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,748,739,0.9879679144385026,4413764.841220006,5413764.841220006,4.413764841220006,0.9922393310087816,-138336.63699999917,-0.028279053381854154,0.0034286769415113726,0.0017288485776734142,9.086683922216265,0.7564276048714479,0.830238726790451,0.02252272607121145,0.02272810708117444,5.122515762213992,1.9550264550264551,0.18245033919532486,0,0,7,2,0,1.5312307918725183,378,403272.9233870968,399763.0443548387,0.010825439783491205,0.6075778078484438,1.0,10,10,748,54636754870c,1454720.88957001,0.23885571248165882,-0.00514446930723517,-1.7354990341167422,0.004424173929741971,0.4164501122675558,7281863.086368499,0.8708627980021535,-0.01594648284773622,True,True,0.8256963479093884,4.194748329255996
repeat_limit_up_only_a94280f3,repeat_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,748,739,0.9879679144385026,4413764.841220006,5413764.841220006,4.413764841220006,0.9922393310087816,-138336.63699999917,-0.028279053381854154,0.0034286769415113726,0.0017288485776734142,9.086683922216265,0.7564276048714479,0.830238726790451,0.02252272607121145,0.02272810708117444,5.122515762213992,1.9550264550264551,0.18245033919532486,0,0,7,2,0,1.5312307918725183,378,403272.9233870968,399763.0443548387,0.010825439783491205,0.6075778078484438,1.0,10,10,748,e514d577d83b,1454720.88957001,0.23885571248165882,-0.00514446930723517,-1.7354990341167422,0.004424173929741971,0.4164501122675558,7281863.086368499,0.8708627980021535,-0.01594648284773622,True,True,0.8256963479093884,4.194748329255996
first_limit_up_only_90ebc664,first_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1284,1153,0.8979750778816199,4770168.344260003,5770168.344260003,4.770168344260004,1.043124103980436,-280376.4212000002,-0.1276107861460309,0.0032594426466863013,0.0022130771065016486,6.0024379032514075,0.7311361665221162,0.8078602620087336,0.015515663639988636,0.014175352380952381,3.9191357824216766,2.5285087719298245,0.24174990678497696,0,0,52,79,0,1.369238113858153,456,606332.4403669725,555406.9357798165,0.009540329575021683,0.6990459670424979,1.0,10,10,1284,49c4a9bd8b6c,1811124.392610007,0.2897404854533132,-0.10447620207141192,-2.938879013909058,-0.0041285807704800875,0.4407423766793618,7602946.606670445,0.8956535845376834,-0.061161531902242355,True,False,0.8437975553417595,3.5069458520636934
first_limit_up_only_12b006e7,first_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1284,1153,0.8979750778816199,4746621.2199300025,5746621.2199300025,4.746621219930002,1.0397211812469171,-236329.12920000032,-0.10819305615360192,0.0032469623372289613,0.002190459934567679,6.363093557390301,0.7346053772766695,0.8013100436681223,0.015573827169253832,0.013957039748953976,3.9967215879430724,2.5285087719298245,0.2397404140606527,0,0,47,84,0,1.3935768388277934,456,606829.4862385321,555917.0091743119,0.011274934952298352,0.6895056374674762,1.0,10,10,1284,b68ec1465b2c,1787577.268280006,0.2863375627197944,-0.08505847207898293,-2.861293208387662,-0.0043468934024784925,0.46957706670448507,7576390.000685558,0.8935148083452544,-0.051452666906027754,True,False,0.8106853129317783,3.4541111974417817
first_limit_up_only_aa41af59,first_limit_up_only,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,773,758,0.9805950840879689,3925136.8616999863,4925136.861699986,3.925136861699986,0.9167977742905535,-96762.68864999898,-0.01949504337474308,0.0031220757699085768,0.0012068446587358839,7.477566618698498,0.7269129287598944,0.7678571428571429,0.01964479683804966,0.015353444160406998,5.853737032149698,1.933673469387755,0.203542969586305,0,0,4,11,0,1.378988091946904,392,390887.3786407767,390887.3786407767,0.01978891820580475,0.8324538258575198,1.0,10,10,773,655bf3d2ad83,966092.9100499898,0.16341415576343077,0.003639540699875904,-1.0042777641810368,-0.002950488991025471,0.7177262516025796,6843862.745908242,0.8343179550475122,-0.019869848946145876,True,True,0.44740715656667224,3.3625485561598536
first_limit_up_only_58602e8d,first_limit_up_only,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,773,755,0.9767141009055628,3878192.044699995,4878192.044699995,3.878192044699995,0.9093205152667281,-96762.68864999991,-0.019681190050176958,0.0031025303831450253,0.0012261043994508114,7.596617947853615,0.7271523178807947,0.7678571428571429,0.01946884708742585,0.015365987854251011,5.793582878842853,1.9260204081632653,0.2055534387123348,0,0,8,10,0,1.3769822277248767,392,390044.2718446602,390044.2718446602,0.019867549668874173,0.833112582781457,1.0,10,10,773,09ace05a59a4,919148.0930499984,0.1559368967396053,0.0034533940244420268,-1.0644319174878811,-0.0029379452971814574,0.70718422496174,6801627.69931576,0.8307379163266115,-0.01996082153762454,True,True,0.4506981331742319,3.315890144025541
multi_day_limit_up_continuation_33da7af2,multi_day_limit_up_continuation,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,550,544,0.9890909090909091,2994943.782020002,3994943.782020002,2.994943782020002,0.7598548174813013,-94468.68429999938,-0.025284738930142294,0.003037000156209998,0.001466858472716881,8.775954459415793,0.7683823529411765,0.8192771084337349,0.02103371104852001,0.021582154954159872,5.1867062079964645,1.6336336336336337,0.18099241955070852,0,0,6,0,0,1.2849192618961107,333,317398.8453159041,314298.954248366,0.014705882352941176,0.6323529411764706,1.0,10,10,550,7853378a6199,35899.830370005686,0.006471198954178581,-0.00215015485552331,-1.67130858833427,0.003278221802727403,0.4090689480609542,5971117.816152168,0.7581664615283721,-0.015095867931278147,True,True,0.6085354540848853,2.5616894104888592
repeat_limit_up_only_a4137519,repeat_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,5,2.0,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,550,544,0.9890909090909091,2994943.782020002,3994943.782020002,2.994943782020002,0.7598548174813013,-94468.68429999938,-0.025284738930142294,0.003037000156209998,0.001466858472716881,8.775954459415793,0.7683823529411765,0.8192771084337349,0.02103371104852001,0.021582154954159872,5.1867062079964645,1.6336336336336337,0.18099241955070852,0,0,6,0,0,1.2849192618961107,333,317398.8453159041,314298.954248366,0.014705882352941176,0.6323529411764706,1.0,10,10,550,c82e2c11b8a8,35899.830370005686,0.006471198954178581,-0.00215015485552331,-1.67130858833427,0.003278221802727403,0.4090689480609542,5971117.816152168,0.7581664615283721,-0.015095867931278147,True,True,0.6085354540848853,2.5616894104888592
