initial_capital_twd,max_gross_exposure_pct,max_positions_per_day,sizing_method,fixed_notional_twd,ranking_method,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,not_bear_regime,avoid_weak_sectors,sector_allowlist,random_seed,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score
1000000.0,1.0,5,fixed,300000.0,composite_score,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,289,0.25552608311229,1181008.9667500006,2181008.9667500006,1.1810089667500008,0.6864079124930924,-22207.753550000023,-0.014431034171094509,0.0038210835356857257,0.001079954219343593,7.945200079546247,0.740484429065744,0.7671232876712328,0.01974671192763098,0.017408073248407645,7.027879892720321,1.9794520547945205,0.27555189783643896,0,0,731,90,21,1.1020050076960866
1000000.0,1.0,3,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,413,0.29436920883820383,1165210.8997500036,2165210.8997500036,1.1652108997500035,0.678211515544106,-24764.20470000012,-0.018793396818863856,0.0030763354211605634,0.0011276596422316043,8.042350814377318,0.7457627118644068,0.7611111111111111,0.01909261504641998,0.01784065909090909,6.301674159672608,2.2944444444444443,0.22428957367781238,0,0,445,494,51,1.1003692787373602
1000000.0,1.0,3,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,396,0.29376854599406527,1153708.0951500027,2153708.0951500027,1.153708095150003,0.6722311853031122,-24764.20470000012,-0.01889037065630565,0.0031421445982665742,0.0011120057031100972,8.13101839488814,0.7550505050505051,0.7687861271676301,0.0198291841108937,0.0185560499490316,6.597688596877139,2.2890173410404624,0.2244973661861485,0,0,437,469,46,1.098713774318773
1000000.0,1.0,5,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,299,0.2531752751905165,1179871.4943500003,2179871.4943500003,1.1798714943500004,0.6858184215611967,-22207.753550000023,-0.01444132209183479,0.003675477035943072,0.0008375403596175834,7.79776526048841,0.7357859531772575,0.7631578947368421,0.019323139149556755,0.0168900466562986,6.468507602632688,1.9671052631578947,0.27392599286758634,0,0,759,99,24,1.0938035510587514
1000000.0,1.0,5,fixed,300000.0,composite_score,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,300,0.2540220152413209,1174065.8651,2174065.8651,1.1740658651000002,0.6828080933508871,-22207.753550000023,-0.014445021081758132,0.0036630293987158576,0.0008377626933472326,7.763191904222784,0.7333333333333333,0.7631578947368421,0.01902289740587525,0.016482471523725492,6.399409639917018,1.9736842105263157,0.27497218286511826,0,0,761,99,21,1.0891473795452795
1000000.0,1.0,5,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,301,0.2548687552921253,1160244.6218000017,2160244.6218000017,1.1602446218000018,0.6756308267111595,-23822.46710000001,-0.015435357245661233,0.0036323501207121056,0.0009990964218721254,7.809355703909664,0.7242524916943521,0.7697368421052632,0.018638945708251406,0.015949941792782304,6.1651462609215555,1.980263157894737,0.2750174321793735,0,0,759,103,18,1.0838678088130247
1000000.0,1.0,5,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,399,0.35278514588859416,1119967.254400001,2119967.254400001,1.119967254400001,0.6546281522601132,-22207.75354999979,-0.014621799143627216,0.0036803362135859846,0.0010926734830872809,7.9978634694506585,0.7543859649122807,0.7671232876712328,0.019603636704677206,0.01841408004052685,7.615406853933946,2.732876712328767,0.260396780257687,0,0,540,148,44,1.0824889407496918
1000000.0,1.0,3,fixed,200000.0,composite_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,393,0.29154302670623145,1128600.9101000018,2128600.910100002,1.1286009101000016,0.659141184766415,-24764.20470000012,-0.019001803997974877,0.003094387002514996,0.0011203478527870292,7.995103175285352,0.7531806615776081,0.7687861271676301,0.019450843440335458,0.0185560499490316,6.31459044755167,2.2716763005780347,0.2247073982467848,0,0,456,461,38,1.0785497442023184
1000000.0,1.0,5,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,416,0.3522438611346317,1121296.654250001,2121296.654250001,1.121296654250001,0.6553234578219533,-22207.75354999979,-0.014572771958359184,0.0035455065403594307,0.0010176816021963964,7.845291724485822,0.7451923076923077,0.7631578947368421,0.018758534338767906,0.017211477811867243,6.982260663308812,2.736842105263158,0.2595473961664522,0,0,559,162,44,1.0755260441805279
1000000.0,1.0,2,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,271,0.2010385756676558,1087666.4581500008,2087666.4581500008,1.0876664581500006,0.6376896318404635,-28680.338800000027,-0.01935911499908526,0.0030123491188779497,0.0011179997746761927,8.477465554760293,0.7564575645756457,0.7687861271676301,0.01983884108682363,0.01854730275229358,6.55834667675138,1.5664739884393064,0.2238138869176161,0,0,417,660,0,1.0719872096457013
